account_id,customer_id,account_type,product_code,open_date,close_date,status,interest_rate,credit_limit,branch_id,created_at,updated_at
ACCT00000026,CUST000022,CHECKING,CHK_PREMIUM,2021-08-06,,ACTIVE,0.0568,,BR0011,2021-08-06 20:26:27,2021-08-06 08:15:49
ACCT00000027,CUST000023,CD,CD_6MO,2023-07-21,,ACTIVE,0.0788,,BR0005,2023-07-21 19:33:04,2023-07-21 17:54:55
ACCT00000028,CUST000024,CREDIT,CC_REWARDS,2023-03-25,,ACTIVE,0.0618,1000,BR0001,2023-03-25 17:58:45,2023-03-25 13:04:53
ACCT00000029,CUST000025,SAVINGS,SAV_BASIC,2022-02-05,,ACTIVE,0.0017,,BR0020,2022-02-05 19:31:59,2022-02-05 12:38:28
ACCT00000030,CUST000026,MONEY_MARKET,MM_STANDARD,2020-09-19,,ACTIVE,0.0451,,BR0003,2020-09-19 09:47:19,2020-09-19 10:42:27
ACCT00000031,CUST000027,SAVINGS,SAV_BASIC,2022-09-22,,DORMANT,0.033,,BR0002,2022-09-22 21:27:30,2022-09-22 09:32:31
ACCT00000032,CUST000028,SAVINGS,SAV_BASIC,2021-06-10,,ACTIVE,0.0333,,BR0015,2021-06-10 13:27:34,2021-06-10 22:57:42
ACCT00000033,CUST000029,LOAN,LOAN_PERSONAL,2021-01-09,,DORMANT,0.132,10000,BR0013,2021-01-09 11:37:10,2021-01-09 11:27:27
ACCT00000034,CUST000030,SAVINGS,SAV_BASIC,2023-10-25,,FROZEN,0.046,,BR0016,2023-10-25 12:28:41,2023-10-25 18:05:25
ACCT00000035,CUST000031,CHECKING,CHK_BASIC,2020-12-24,,ACTIVE,0.0376,,BR0012,2020-12-24 13:51:20,2020-12-24 09:08:20
ACCT00000036,CUST000031,SAVINGS,SAV_BASIC,2021-01-30,,ACTIVE,0.0353,,BR0012,2021-01-30 21:24:18,2021-01-30 06:35:53
ACCT00000037,CUST000032,CHECKING,CHK_BASIC,2021-10-19,,FROZEN,0.026,,BR0007,2021-10-19 08:58:45,2021-10-19 15:07:49
ACCT00000038,CUST000033,CREDIT,CC_BASIC,2021-04-19,,ACTIVE,0.0462,2000,BR0008,2021-04-19 17:55:25,2021-04-19 17:51:05
ACCT00000039,CUST000034,SAVINGS,SAV_BASIC,2021-02-15,,ACTIVE,0.0675,,BR0001,2021-02-15 15:33:27,2021-02-15 07:03:55
ACCT00000040,CUST000034,CD,CD_24MO,2020-11-19,,ACTIVE,0.0487,,BR0001,2020-11-19 14:17:38,2020-11-19 11:33:28
ACCT00000041,CUST000035,SAVINGS,SAV_BASIC,2022-08-31,,ACTIVE,0.0518,,BR0003,2022-08-31 10:37:12,2022-08-31 06:07:06
ACCT00000042,CUST000036,LOAN,LOAN_PERSONAL,2021-07-12,,ACTIVE,0.1687,10000,BR0005,2021-07-12 07:31:17,2021-07-12 11:36:48
ACCT00000043,CUST000037,CD,CD_6MO,2021-10-04,,ACTIVE,0.0189,,BR0014,2021-10-04 12:26:38,2021-10-04 12:52:07
ACCT00000044,CUST000037,CD,CD_6MO,2021-09-14,2022-04-04,CLOSED,0.0021,,BR0014,2021-09-14 21:40:12,2021-09-14 06:08:51
ACCT00000045,CUST000038,CHECKING,CHK_PREMIUM,2022-11-30,,ACTIVE,0.012,,BR0004,2022-11-30 20:23:15,2022-11-30 21:50:47
ACCT00000046,CUST000039,LOAN,LOAN_PERSONAL,2021-09-25,,FROZEN,0.2014,5000,BR0011,2021-09-25 15:25:42,2021-09-25 17:57:26
ACCT00000047,CUST000040,CD,CD_6MO,2023-11-26,,ACTIVE,0.0579,,BR0010,2023-11-26 21:50:13,2023-11-26 17:41:19
ACCT00000048,CUST000041,CHECKING,CHK_PREMIUM,2023-10-01,,ACTIVE,0.0528,,BR0005,2023-10-01 19:22:59,2023-10-01 22:12:42
ACCT00000049,CUST000042,CREDIT,CC_BASIC,2020-08-11,,ACTIVE,0.0532,5000,BR0003,2020-08-11 19:40:10,2020-08-11 19:53:31
ACCT00000050,CUST000042,CHECKING,CHK_PREMIUM,2020-11-04,,ACTIVE,0.02,,BR0003,2020-11-04 06:55:42,2020-11-04 20:30:23
ACCT00000051,CUST000043,SAVINGS,SAV_HIYIELD,2023-12-15,,ACTIVE,0.0619,,BR0012,2023-12-15 12:42:53,2023-12-15 14:19:15
ACCT00000052,CUST000044,LOAN,LOAN_AUTO,2021-08-03,,FROZEN,0.2133,1000,BR0006,2021-08-03 17:01:48,2021-08-03 15:20:51
ACCT00000053,CUST000045,CHECKING,CHK_PREMIUM,2022-12-11,,ACTIVE,0.0376,,BR0007,2022-12-11 06:03:29,2022-12-11 12:17:11
ACCT00000054,CUST000045,CREDIT,CC_BASIC,2022-12-14,,ACTIVE,0.0561,10000,BR0007,2022-12-14 13:58:47,2022-12-14 21:58:09
ACCT00000055,CUST000045,MONEY_MARKET,MM_STANDARD,2022-07-20,,ACTIVE,0.0201,,BR0007,2022-07-20 06:04:26,2022-07-20 10:21:35
ACCT00000056,CUST000046,SAVINGS,SAV_BASIC,2021-04-16,,FROZEN,0.0554,,BR0017,2021-04-16 06:19:21,2021-04-16 06:42:11
ACCT00000057,CUST000046,MONEY_MARKET,MM_STANDARD,2021-04-08,,ACTIVE,0.0709,,BR0017,2021-04-08 10:58:29,2021-04-08 14:49:43
ACCT00000058,CUST000047,CHECKING,CHK_PREMIUM,2020-10-21,,DORMANT,0.0159,,BR0003,2020-10-21 09:07:09,2020-10-21 13:42:22
ACCT00000059,CUST000048,MONEY_MARKET,MM_STANDARD,2022-04-08,,ACTIVE,0.0293,,BR0014,2022-04-08 20:52:16,2022-04-08 10:35:27
ACCT00000060,CUST000049,CHECKING,CHK_BASIC,2022-09-22,,FROZEN,0.0424,,BR0012,2022-09-22 21:14:33,2022-09-22 12:35:45
ACCT00000061,CUST000050,CD,CD_6MO,2023-09-14,,ACTIVE,0.0215,,BR0011,2023-09-14 19:02:51,2023-09-14 08:37:14
ACCT00000062,CUST000051,CD,CD_12MO,2023-11-01,,ACTIVE,0.0607,,BR0005,2023-11-01 13:44:29,2023-11-01 07:59:48
ACCT00000063,CUST000052,SAVINGS,SAV_BASIC,2020-06-06,,ACTIVE,0.0338,,BR0001,2020-06-06 12:15:28,2020-06-06 14:24:06
ACCT00000064,CUST000053,CHECKING,CHK_PREMIUM,2023-11-27,,ACTIVE,0.0771,,BR0003,2023-11-27 11:48:27,2023-11-27 14:56:06
ACCT00000065,CUST000054,CHECKING,CHK_BASIC,2021-01-09,2022-07-20,CLOSED,0.0414,,BR0005,2021-01-09 20:25:10,2021-01-09 06:37:39
ACCT00000066,CUST000055,CHECKING,CHK_BASIC,2020-09-12,,ACTIVE,0.0026,,BR0002,2020-09-12 13:59:39,2020-09-12 16:04:27
ACCT00000067,CUST000055,CREDIT,CC_REWARDS,2021-04-10,,ACTIVE,0.0036,5000,BR0002,2021-04-10 10:58:52,2021-04-10 10:58:43
ACCT00000068,CUST000056,LOAN,LOAN_PERSONAL,2020-10-29,,FROZEN,0.2295,2000,BR0016,2020-10-29 14:50:14,2020-10-29 22:58:35
ACCT00000069,CUST000057,SAVINGS,SAV_HIYIELD,2023-10-27,,ACTIVE,0.0524,,BR0005,2023-10-27 07:09:23,2023-10-27 13:25:19
ACCT00000070,CUST000058,SAVINGS,SAV_BASIC,2022-07-06,,ACTIVE,0.063,,BR0002,2022-07-06 13:06:15,2022-07-06 14:08:30
ACCT00000071,CUST000059,SAVINGS,SAV_BASIC,2022-03-26,,ACTIVE,0.0097,,BR0005,2022-03-26 16:18:37,2022-03-26 06:47:18
ACCT00000072,CUST000060,CD,CD_24MO,2020-11-26,,ACTIVE,0.0682,,BR0002,2020-11-26 12:41:19,2020-11-26 13:27:56
ACCT00000073,CUST000060,MONEY_MARKET,MM_STANDARD,2021-01-23,,ACTIVE,0.0552,,BR0002,2021-01-23 11:42:37,2021-01-23 21:30:07
ACCT00000074,CUST000061,CHECKING,CHK_BASIC,2020-08-01,,ACTIVE,0.0759,,BR0011,2020-08-01 20:38:08,2020-08-01 18:57:50
ACCT00000075,CUST000062,SAVINGS,SAV_BASIC,2021-11-22,,ACTIVE,0.0412,,BR0008,2021-11-22 19:09:43,2021-11-22 08:47:03
ACCT00000076,CUST000063,MONEY_MARKET,MM_STANDARD,2023-10-03,,ACTIVE,0.0324,,BR0018,2023-10-03 08:50:20,2023-10-03 20:13:43
ACCT00000077,CUST000064,SAVINGS,SAV_BASIC,2021-11-19,,ACTIVE,0.0294,,BR0007,2021-11-19 22:43:28,2021-11-19 21:00:28
ACCT00000078,CUST000065,MONEY_MARKET,MM_STANDARD,2023-09-14,,ACTIVE,0.0692,,BR0013,2023-09-14 07:16:17,2023-09-14 16:03:00
ACCT00000079,CUST000066,CHECKING,CHK_PREMIUM,2020-01-06,,ACTIVE,0.0596,,BR0008,2020-01-06 22:15:35,2020-01-06 21:35:39
ACCT00000080,CUST000067,CHECKING,CHK_BASIC,2021-12-10,,ACTIVE,0.048,,BR0001,2021-12-10 22:25:28,2021-12-10 18:03:15
ACCT00000081,CUST000068,CD,CD_24MO,2022-06-09,,ACTIVE,0.0633,,BR0018,2022-06-09 14:26:43,2022-06-09 20:43:22
ACCT00000082,CUST000069,LOAN,LOAN_PERSONAL,2023-12-29,,ACTIVE,0.0489,2000,BR0004,2023-12-29 10:28:11,2023-12-29 08:03:55
ACCT00000083,CUST000070,CREDIT,CC_REWARDS,2022-05-27,,ACTIVE,0.0306,1000,BR0013,2022-05-27 15:10:09,2022-05-27 06:06:15
ACCT00000084,CUST000071,SAVINGS,SAV_BASIC,2023-12-27,,ACTIVE,0.0551,,BR0010,2023-12-27 08:56:48,2023-12-27 18:33:07
ACCT00000085,CUST000072,LOAN,LOAN_AUTO,2023-12-04,,ACTIVE,0.2082,2000,BR0005,2023-12-04 08:41:44,2023-12-04 21:15:47
ACCT00000086,CUST000073,CREDIT,CC_REWARDS,2023-02-02,,ACTIVE,0.0348,2000,BR0016,2023-02-02 07:02:01,2023-02-02 17:08:05
ACCT00000087,CUST000074,CHECKING,CHK_BASIC,2022-05-30,,DORMANT,0.0774,,BR0009,2022-05-30 06:29:07,2022-05-30 19:15:17
ACCT00000088,CUST000075,CHECKING,CHK_PREMIUM,2023-03-22,,ACTIVE,0.0092,,BR0007,2023-03-22 12:29:00,2023-03-22 22:23:05
ACCT00000089,CUST000076,CREDIT,CC_BASIC,2020-04-24,,ACTIVE,0.0502,50000,BR0013,2020-04-24 15:23:16,2020-04-24 17:26:38
ACCT00000090,CUST000077,SAVINGS,SAV_BASIC,2021-05-24,,ACTIVE,0.0368,,BR0001,2021-05-24 21:05:15,2021-05-24 20:28:46
ACCT00000091,CUST000078,CD,CD_24MO,2021-05-28,,FROZEN,0.0405,,BR0016,2021-05-28 10:54:27,2021-05-28 13:37:22
ACCT00000092,CUST000079,SAVINGS,SAV_BASIC,2022-01-02,,ACTIVE,0.0753,,BR0005,2022-01-02 17:23:31,2022-01-02 12:29:06
ACCT00000093,CUST000080,CHECKING,CHK_PREMIUM,2021-01-08,,ACTIVE,0.06,,BR0004,2021-01-08 07:10:46,2021-01-08 10:13:43
ACCT00000094,CUST000081,CHECKING,CHK_PREMIUM,2022-07-30,,ACTIVE,0.0245,,BR0010,2022-07-30 18:56:24,2022-07-30 11:31:27
ACCT00000095,CUST000082,CHECKING,CHK_BASIC,2020-05-31,2021-02-11,CLOSED,0.0646,,BR0001,2020-05-31 19:49:06,2020-05-31 15:11:40
ACCT00000096,CUST000083,CHECKING,CHK_PREMIUM,2020-12-25,,ACTIVE,0.0792,,BR0013,2020-12-25 19:13:56,2020-12-25 19:16:30
ACCT00000097,CUST000084,CHECKING,CHK_PREMIUM,2022-06-14,,ACTIVE,0.0479,,BR0011,2022-06-14 21:59:01,2022-06-14 12:24:35
ACCT00000098,CUST000085,CHECKING,CHK_PREMIUM,2021-10-22,,ACTIVE,0.055,,BR0011,2021-10-22 13:25:46,2021-10-22 13:44:53
ACCT00000099,CUST000086,CHECKING,CHK_BASIC,2021-12-07,,ACTIVE,0.0626,,BR0011,2021-12-07 09:42:41,2021-12-07 11:30:59
ACCT00000100,CUST000087,CHECKING,CHK_BASIC,2021-09-10,2022-07-07,CLOSED,0.0308,,BR0010,2021-09-10 10:37:06,2021-09-10 08:34:28
ACCT00000101,CUST000087,CHECKING,CHK_PREMIUM,2021-06-24,,ACTIVE,0.0108,,BR0010,2021-06-24 12:01:05,2021-06-24 09:28:44
ACCT00000102,CUST000088,MONEY_MARKET,MM_STANDARD,2020-07-31,,ACTIVE,0.0545,,BR0003,2020-07-31 22:39:46,2020-07-31 22:41:16
ACCT00000103,CUST000089,CHECKING,CHK_BASIC,2021-09-11,,ACTIVE,0.0259,,BR0018,2021-09-11 10:06:31,2021-09-11 09:07:17
ACCT00000104,CUST000090,SAVINGS,SAV_HIYIELD,2021-08-03,,ACTIVE,0.0418,,BR0011,2021-08-03 09:35:39,2021-08-03 09:57:00
ACCT00000105,CUST000091,CD,CD_12MO,2023-12-06,,FROZEN,0.0331,,BR0012,2023-12-06 13:06:26,2023-12-06 12:53:06
ACCT00000106,CUST000092,CHECKING,CHK_PREMIUM,2022-05-07,,ACTIVE,0.0364,,BR0010,2022-05-07 11:47:55,2022-05-07 19:06:26
ACCT00000107,CUST000093,CHECKING,CHK_BASIC,2021-05-08,,ACTIVE,0.008,,BR0009,2021-05-08 12:33:54,2021-05-08 07:25:33
ACCT00000108,CUST000094,CHECKING,CHK_BASIC,2023-09-20,2023-11-15,CLOSED,0.0405,,BR0014,2023-09-20 19:31:22,2023-09-20 12:50:43
ACCT00000109,CUST000095,CHECKING,CHK_BASIC,2023-10-01,,ACTIVE,0.0071,,BR0017,2023-10-01 22:21:17,2023-10-01 07:48:54
ACCT00000110,CUST000096,CHECKING,CHK_BASIC,2023-02-15,,ACTIVE,0.0386,,BR0006,2023-02-15 11:38:22,2023-02-15 15:23:33
ACCT00000111,CUST000097,SAVINGS,SAV_BASIC,2023-12-14,,ACTIVE,0.0131,,BR0016,2023-12-14 14:46:13,2023-12-14 10:09:58
ACCT00000112,CUST000098,SAVINGS,SAV_BASIC,2022-06-24,,ACTIVE,0.0669,,BR0003,2022-06-24 11:20:35,2022-06-24 08:40:47
ACCT00000113,CUST000099,CHECKING,CHK_BASIC,2023-11-20,,ACTIVE,0.0725,,BR0013,2023-11-20 09:52:45,2023-11-20 11:45:12
ACCT00000114,CUST000099,SAVINGS,SAV_HIYIELD,2023-11-14,2023-12-31,CLOSED,0.0194,,BR0013,2023-11-14 14:22:16,2023-11-14 09:52:13
ACCT00000115,CUST000100,LOAN,LOAN_PERSONAL,2023-12-19,,ACTIVE,0.1028,2000,BR0008,2023-12-19 07:38:15,2023-12-19 06:57:49
ACCT00000116,CUST000101,SAVINGS,SAV_BASIC,2021-11-05,,DORMANT,0.0524,,BR0010,2021-11-05 19:44:42,2021-11-05 15:23:56
ACCT00000117,CUST000102,MONEY_MARKET,MM_STANDARD,2023-08-27,,ACTIVE,0.0733,,BR0019,2023-08-27 07:35:47,2023-08-27 11:44:06
ACCT00000118,CUST000103,CHECKING,CHK_BASIC,2022-04-21,,DORMANT,0.0341,,BR0019,2022-04-21 22:04:04,2022-04-21 12:13:39
ACCT00000119,CUST000104,SAVINGS,SAV_BASIC,2023-04-17,,ACTIVE,0.0388,,BR0018,2023-04-17 10:07:30,2023-04-17 13:45:18
ACCT00000120,CUST000105,CHECKING,CHK_BASIC,2020-07-05,,ACTIVE,0.0591,,BR0009,2020-07-05 14:06:44,2020-07-05 22:56:50
ACCT00000121,CUST000105,LOAN,LOAN_AUTO,2020-05-27,,ACTIVE,0.1747,2000,BR0009,2020-05-27 11:46:15,2020-05-27 19:20:19
ACCT00000122,CUST000106,CHECKING,CHK_PREMIUM,2020-09-20,,ACTIVE,0.0239,,BR0017,2020-09-20 11:18:48,2020-09-20 14:09:42
ACCT00000123,CUST000107,LOAN,LOAN_AUTO,2023-08-13,,DORMANT,0.0415,25000,BR0001,2023-08-13 15:28:26,2023-08-13 17:44:57
ACCT00000124,CUST000108,CHECKING,CHK_PREMIUM,2022-03-30,,ACTIVE,0.0529,,BR0008,2022-03-30 16:26:17,2022-03-30 06:39:51
ACCT00000125,CUST000109,SAVINGS,SAV_BASIC,2020-08-10,,ACTIVE,0.0719,,BR0007,2020-08-10 20:02:20,2020-08-10 15:53:40
ACCT00000126,CUST000110,CHECKING,CHK_BASIC,2021-02-07,,ACTIVE,0.0412,,BR0005,2021-02-07 11:24:55,2021-02-07 08:42:57
ACCT00000127,CUST000111,CD,CD_24MO,2022-09-03,,ACTIVE,0.0221,,BR0017,2022-09-03 11:02:40,2022-09-03 11:15:30
ACCT00000128,CUST000112,SAVINGS,SAV_HIYIELD,2022-09-05,,ACTIVE,0.0484,,BR0016,2022-09-05 11:36:22,2022-09-05 13:14:34
ACCT00000129,CUST000113,CHECKING,CHK_BASIC,2020-07-14,,ACTIVE,0.0491,,BR0007,2020-07-14 06:53:39,2020-07-14 13:50:50
ACCT00000130,CUST000114,CHECKING,CHK_BASIC,2023-03-26,,ACTIVE,0.0242,,BR0003,2023-03-26 18:27:43,2023-03-26 11:32:47
ACCT00000131,CUST000114,CHECKING,CHK_PREMIUM,2023-06-08,,ACTIVE,0.0543,,BR0003,2023-06-08 13:15:16,2023-06-08 12:30:23
ACCT00000132,CUST000115,SAVINGS,SAV_HIYIELD,2023-09-21,,ACTIVE,0.0588,,BR0010,2023-09-21 22:27:49,2023-09-21 17:51:18
ACCT00000133,CUST000115,CHECKING,CHK_BASIC,2023-08-02,,ACTIVE,0.0313,,BR0010,2023-08-02 10:35:21,2023-08-02 16:01:28
ACCT00000134,CUST000116,CHECKING,CHK_PREMIUM,2021-08-19,,ACTIVE,0.0139,,BR0020,2021-08-19 22:51:39,2021-08-19 17:38:17
ACCT00000135,CUST000116,SAVINGS,SAV_HIYIELD,2022-03-26,,ACTIVE,0.0647,,BR0020,2022-03-26 19:18:20,2022-03-26 12:20:38
ACCT00000136,CUST000117,SAVINGS,SAV_BASIC,2021-11-10,2023-03-23,CLOSED,0.0644,,BR0003,2021-11-10 22:12:00,2021-11-10 07:48:37
ACCT00000137,CUST000117,MONEY_MARKET,MM_STANDARD,2021-11-16,,ACTIVE,0.0178,,BR0003,2021-11-16 14:18:47,2021-11-16 18:42:24
ACCT00000138,CUST000118,SAVINGS,SAV_HIYIELD,2022-06-04,,ACTIVE,0.0371,,BR0014,2022-06-04 19:44:06,2022-06-04 20:44:54
ACCT00000139,CUST000118,CD,CD_24MO,2021-11-05,,ACTIVE,0.0051,,BR0014,2021-11-05 14:39:28,2021-11-05 08:05:01
ACCT00000140,CUST000119,SAVINGS,SAV_HIYIELD,2023-06-07,,FROZEN,0.0091,,BR0016,2023-06-07 18:30:53,2023-06-07 17:26:27
ACCT00000141,CUST000120,LOAN,LOAN_PERSONAL,2021-01-11,2023-01-04,CLOSED,0.1486,25000,BR0019,2021-01-11 19:01:43,2021-01-11 09:24:31
ACCT00000142,CUST000121,LOAN,LOAN_PERSONAL,2023-06-24,,FROZEN,0.2339,5000,BR0019,2023-06-24 19:36:33,2023-06-24 16:01:56
ACCT00000143,CUST000122,CHECKING,CHK_PREMIUM,2021-12-19,,ACTIVE,0.0627,,BR0015,2021-12-19 19:54:45,2021-12-19 13:31:21
ACCT00000144,CUST000123,LOAN,LOAN_AUTO,2020-06-28,,ACTIVE,0.0544,50000,BR0009,2020-06-28 11:57:21,2020-06-28 20:07:19
ACCT00000145,CUST000124,CHECKING,CHK_BASIC,2020-07-19,,FROZEN,0.0436,,BR0017,2020-07-19 21:27:47,2020-07-19 11:48:24
ACCT00000146,CUST000125,CHECKING,CHK_BASIC,2023-05-28,,DORMANT,0.0419,,BR0020,2023-05-28 15:36:15,2023-05-28 19:55:35
ACCT00000147,CUST000126,CHECKING,CHK_PREMIUM,2021-01-26,,ACTIVE,0.0184,,BR0002,2021-01-26 08:01:49,2021-01-26 08:54:48
ACCT00000148,CUST000127,SAVINGS,SAV_BASIC,2021-04-27,,ACTIVE,0.0011,,BR0001,2021-04-27 15:41:58,2021-04-27 22:55:23
ACCT00000149,CUST000127,CHECKING,CHK_PREMIUM,2021-06-21,,ACTIVE,0.061,,BR0001,2021-06-21 07:57:13,2021-06-21 18:20:26
ACCT00000150,CUST000128,CHECKING,CHK_PREMIUM,2023-11-17,,DORMANT,0.018,,BR0008,2023-11-17 15:43:18,2023-11-17 12:40:38
ACCT00000151,CUST000128,CHECKING,CHK_PREMIUM,2023-12-09,,ACTIVE,0.06,,BR0008,2023-12-09 13:14:06,2023-12-09 08:43:09
ACCT00000152,CUST000129,CD,CD_24MO,2021-02-22,2023-03-25,CLOSED,0.0723,,BR0019,2021-02-22 20:56:14,2021-02-22 09:56:28
ACCT00000153,CUST000130,CHECKING,CHK_PREMIUM,2021-07-17,,ACTIVE,0.071,,BR0006,2021-07-17 11:43:26,2021-07-17 10:24:15
ACCT00000154,CUST000130,SAVINGS,SAV_BASIC,2021-10-09,,FROZEN,0.0412,,BR0006,2021-10-09 21:52:31,2021-10-09 14:50:31
ACCT00000155,CUST000131,MONEY_MARKET,MM_STANDARD,2020-12-26,,ACTIVE,0.0753,,BR0014,2020-12-26 22:45:21,2020-12-26 10:37:22
ACCT00000156,CUST000131,CHECKING,CHK_BASIC,2021-03-25,,ACTIVE,0.077,,BR0014,2021-03-25 13:30:24,2021-03-25 20:26:35
ACCT00000157,CUST000132,SAVINGS,SAV_BASIC,2021-03-26,2023-10-05,CLOSED,0.0028,,BR0002,2021-03-26 21:26:29,2021-03-26 17:05:19
ACCT00000158,CUST000133,CHECKING,CHK_BASIC,2020-11-19,2023-08-10,CLOSED,0.0525,,BR0001,2020-11-19 12:03:39,2020-11-19 07:50:02
ACCT00000159,CUST000134,CD,CD_24MO,2022-11-03,,ACTIVE,0.0036,,BR0015,2022-11-03 19:23:25,2022-11-03 17:46:32
ACCT00000160,CUST000135,LOAN,LOAN_AUTO,2023-10-06,,ACTIVE,0.1709,10000,BR0019,2023-10-06 17:15:21,2023-10-06 11:58:12
ACCT00000161,CUST000135,CD,CD_6MO,2023-09-19,,ACTIVE,0.0509,,BR0019,2023-09-19 06:55:02,2023-09-19 14:29:01
ACCT00000162,CUST000136,MONEY_MARKET,MM_STANDARD,2022-11-22,2023-04-26,CLOSED,0.0472,,BR0009,2022-11-22 17:52:26,2022-11-22 08:05:38
ACCT00000163,CUST000136,LOAN,LOAN_AUTO,2023-08-15,,ACTIVE,0.2067,1000,BR0009,2023-08-15 08:35:06,2023-08-15 16:32:13
ACCT00000164,CUST000137,CHECKING,CHK_PREMIUM,2023-08-19,,ACTIVE,0.0382,,BR0014,2023-08-19 19:59:05,2023-08-19 22:41:48
ACCT00000165,CUST000138,CD,CD_6MO,2021-04-24,,FROZEN,0.0232,,BR0011,2021-04-24 20:46:37,2021-04-24 19:25:42
ACCT00000166,CUST000139,SAVINGS,SAV_BASIC,2023-12-02,,FROZEN,0.0595,,BR0006,2023-12-02 10:23:25,2023-12-02 16:38:37
ACCT00000167,CUST000140,SAVINGS,SAV_BASIC,2023-08-11,,ACTIVE,0.0228,,BR0003,2023-08-11 11:44:14,2023-08-11 13:00:46
ACCT00000168,CUST000141,SAVINGS,SAV_HIYIELD,2023-12-12,,ACTIVE,0.023,,BR0013,2023-12-12 21:43:15,2023-12-12 19:11:58
ACCT00000169,CUST000142,CHECKING,CHK_BASIC,2021-11-20,,ACTIVE,0.0181,,BR0013,2021-11-20 08:34:24,2021-11-20 18:02:19
